Image,Poisson_Scaling_Factor,PSNR_Noisy_Poisson,PSNR_BM3D_Denoised
01.png,0.1956,20.6640,22.2670
02.png,0.1956,20.4096,21.0807
03.png,0.1492,20.3984,20.8081
04.png,0.1492,20.3422,20.7131
05.png,0.1260,20.4261,20.9680
06.png,0.1338,20.6128,21.1259
07.png,0.1028,20.3361,20.6259
08.png,0.1802,20.6555,21.5217
09.png,0.2266,20.4868,21.4599
10.png,0.2111,20.4942,21.5237
11.png,0.1802,20.3839,21.2365
12.png,0.1647,20.6136,21.3000
13.png,0.1802,20.3976,20.9569
14.png,0.1647,20.3701,20.9750
15.png,0.1492,20.5116,21.0777
16.png,0.1183,20.5228,20.9141
17.png,0.1956,20.6949,21.9234
18.png,0.2884,20.4736,22.5843
19.png,0.1956,20.3009,21.1973
20.png,0.1956,20.4529,21.0631
21.png,0.1956,20.4097,21.3808
22.png,0.1492,20.3241,20.9866
23.png,0.1802,20.4140,21.3323
24.png,0.1802,20.4998,21.3310
25.png,0.1647,20.6647,21.0446
26.png,0.2420,20.5243,22.3639
27.png,0.1802,20.4059,21.0840
28.png,0.1338,20.5835,21.0850
29.png,0.1492,20.3895,21.0526
30.png,0.1492,20.3173,20.9417
31.png,0.1338,20.5026,20.8378
32.png,0.1956,20.5298,21.6648
33.png,0.1802,20.5357,21.3501
34.png,0.1802,20.3807,21.1193
35.png,0.2266,20.4050,21.7681
36.png,0.2266,20.6421,22.0029
37.png,0.1647,20.6751,21.3425
38.png,0.2575,20.5108,22.4937
39.png,0.1802,20.6581,21.2672
40.png,0.1647,20.5981,21.1732
41.png,0.1183,20.4629,20.9320
42.png,0.1647,20.3357,21.1115
43.png,0.1492,20.4482,21.0045
44.png,0.1183,20.6539,20.9922
45.png,0.1956,20.3587,21.3519
46.png,0.1802,20.4280,22.4011
47.png,0.1956,20.4796,21.4239
48.png,0.1956,20.6877,21.6684
49.png,0.1802,20.5008,21.4707
50.png,0.1802,20.6605,21.4204
