filename,psnr_db
01.png,28.301591873168945
02.png,26.86028289794922
03.png,25.48356056213379
04.png,25.166366577148438
05.png,28.670740127563477
06.png,29.072235107421875
07.png,26.66259002685547
08.png,28.484127044677734
09.png,25.23604393005371
10.png,27.033288955688477
11.png,28.67720603942871
12.png,27.31320571899414
13.png,26.229995727539062
14.png,26.474306106567383
15.png,28.387950897216797
16.png,26.66454315185547
17.png,29.162761688232422
18.png,28.441591262817383
19.png,27.915555953979492
20.png,25.878406524658203
21.png,27.878944396972656
22.png,29.55215072631836
23.png,27.502872467041016
24.png,28.027389526367188
25.png,25.452533721923828
26.png,28.480985641479492
27.png,26.819046020507812
28.png,28.41984748840332
29.png,28.7752685546875
30.png,28.72377586364746
31.png,25.603057861328125
32.png,27.4642391204834
33.png,27.904909133911133
34.png,25.638017654418945
35.png,28.262401580810547
36.png,28.191822052001953
37.png,27.62376594543457
38.png,28.535520553588867
39.png,26.023691177368164
40.png,26.25800895690918
41.png,28.295825958251953
42.png,29.51358985900879
43.png,28.459489822387695
44.png,27.433380126953125
45.png,27.491226196289062
46.png,27.255279541015625
47.png,27.94426155090332
48.png,28.164175033569336
49.png,28.272350311279297
50.png,27.220874786376953
