filename,noisy_psnr_db,denoised_psnr_db
01.png,17.82937240600586,25.17646026611328
02.png,17.521488189697266,25.478397369384766
03.png,18.697532653808594,24.385194778442383
04.png,18.664030075073242,23.46080780029297
05.png,19.417211532592773,27.046951293945312
06.png,19.32207489013672,29.393701553344727
07.png,20.105989456176758,26.845491409301758
08.png,18.05689811706543,27.66935157775879
09.png,17.168045043945312,23.616140365600586
10.png,17.32358741760254,24.776023864746094
11.png,17.849811553955078,28.002227783203125
12.png,18.427413940429688,25.960378646850586
13.png,17.835498809814453,24.762928009033203
14.png,18.19593620300293,25.442487716674805
15.png,18.68182945251465,27.73238182067871
16.png,19.73164176940918,27.66779899597168
17.png,17.998811721801758,27.88097381591797
18.png,16.328752517700195,26.761571884155273
19.png,17.431625366210938,26.488473892211914
20.png,17.569215774536133,24.775142669677734
21.png,17.493122100830078,26.22359848022461
22.png,18.615062713623047,28.784055709838867
23.png,17.913572311401367,26.669931411743164
24.png,18.083749771118164,27.729787826538086
25.png,18.521560668945312,24.22170639038086
26.png,17.039030075073242,26.100849151611328
27.png,17.734739303588867,25.79217529296875
28.png,19.287477493286133,28.0823974609375
29.png,18.611648559570312,28.1596736907959
30.png,18.50501823425293,28.154109954833984
31.png,19.220935821533203,25.040699005126953
32.png,17.732084274291992,25.856416702270508
33.png,17.92923355102539,27.22113037109375
34.png,17.86981773376465,23.69186782836914
35.png,16.925783157348633,27.25882339477539
36.png,17.085060119628906,27.295778274536133
37.png,18.416484832763672,27.046733856201172
38.png,16.66444206237793,26.532623291015625
39.png,18.130905151367188,24.340028762817383
40.png,18.446823120117188,25.407398223876953
41.png,19.730989456176758,27.72446632385254
42.png,18.09644889831543,28.68994140625
43.png,18.641740798950195,27.98358726501465
44.png,19.82770347595215,27.023719787597656
45.png,17.514766693115234,25.899566650390625
46.png,17.996089935302734,24.157983779907227
47.png,17.581424713134766,26.666263580322266
48.png,17.78577995300293,26.95603370666504
49.png,18.006315231323242,26.837173461914062
50.png,18.078489303588867,25.7658748626709
